                       Game of the Rope - Description of the internal state

Ref Coa1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5      Trial
Sta Stat Sta SG Sta SG Sta SG Sta SG Sta SG Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
SOG           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
WTC WFRC SIT  7 SIT  6 DYB  6 DYB  8 DYB  9 WTRL SIT  9 SIT  7 DYB  7 SIT  6 SIT  5 - - - . - - -  2  -1
WTC WFRC SIT  7 SIT  6 DYB  6 DYB  8 SIT  9 WTRL SIT  9 SIT  7 DYB  7 SIT  6 SIT  5 - - - . - - -  2  -1
WTC WFRC SIT  7 SIT  6 DYB  6 SIT  8 SIT  9 WTRL SIT  9 SIT  7 DYB  7 SIT  6 SIT  5 - - - . - - -  2  -1
WTC WFRC SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WTRL SIT  9 SIT  7 DYB  7 SIT  6 SIT  5 - - - . - - -  2  -1
WTC WFRC SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WTRL SIT  9 SIT  7 SIT  7 SIT  6 SIT  5 - - - . - - -  2  -1
TMR WFRC SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WTRL SIT  9 SIT  7 SIT  7 SIT  6 SIT  5 - - - . - - -  2  -1
TMR WFRC SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 WFRC SIT  8 SIT  6 SIT  6 SIT  7 SIT  6 - - - . - - -  2  -1
TMR WFRC SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 ASMT SIT  8 SIT  6 SIT  6 SIT  7 SIT  6 - - - . - - -  2  -1
TMR ASMT SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 ASMT SIT  8 SIT  6 SIT  6 SIT  7 SIT  6 - - - . - - -  2  -1
TMR ASMT SIT  7 SIT  6 SIT  6 SIT  8 SIT  9 ASMT SIT  8 POS  6 SIT  6 SIT  7 SIT  6 - - - . 2 - -  2  -1
TMR ASMT SIT  7 SIT  6 SIT  6 POS  8 SIT  9 ASMT SIT  8 POS  6 SIT  6 SIT  7 SIT  6 4 - - . 2 - -  2  -1
TMR ASMT SIT  7 SIT  6 SIT  6 POS  8 SIT  9 ASMT POS  8 POS  6 SIT  6 SIT  7 SIT  6 4 - - . 2 1 -  2  -1
TMR ASMT SIT  7 SIT  6 SIT  6 POS  8 SIT  9 ASMT POS  8 POS  6 SIT  6 POS  7 SIT  6 4 - - . 2 1 4  2  -1
TMR ASMT POS  7 SIT  6 SIT  6 POS  8 SIT  9 ASMT POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 - . 2 1 4  2  -1
TMR ASMT POS  7 SIT  6 SIT  6 POS  8 POS  9 ASMT POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
TMR ASMT POS  7 SIT  6 SIT  6 POS  8 POS  9 WTRL POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
TMR WTRL POS  7 SIT  6 SIT  6 POS  8 POS  9 WTRL POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL POS  7 SIT  6 SIT  6 POS  8 POS  9 WTRL POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 POS  8 POS  9 WTRL POS  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
WTC WTRL DYB  7 SIT  6 SIT  6 POS  8 POS  9 WTRL DYB  8 POS  6 SIT  6 POS  7 SIT  6 4 1 5 . 2 1 4  2  -1
